# rings / # wavelenths,1,2,10,20,40,100
1,0.7,0.7,,,,1
63,0.7,0.7,2,3.5,6.63,16
95,0.7,0.9,,,,36
127,0.9,1.6,,,,
255,2.8,5.3,,,,
511,10.7,20,,,,
